Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Primary,Trinitarianism,Unity of Essence,pastoral,A new Christian has been reading popular books that treat the unity of essence in the Trinity as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_T_UOE_010,pastoral_v2
Primary,Hamartiology,Origin of Sin,objective,What are the most common contemporary misconceptions or distortions of the origin of sin? How would you correct each one from Scripture and historic Christian teaching?,P_H_OOS_005,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,objective,What are the most common contemporary misconceptions or distortions of the nature of the Lord's Supper? How would you correct each one from Scripture and historic Christian teaching?,S_E_NOT_003,objective_v2
Tertiary,Angelology,Demonic Activity,pastoral,"In what ways does demonic activity and the powers of darkness connect to the life, death, and resurrection of Jesus Christ?",T_A_DA_009,coherence_application_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of gender and human sexuality. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_AR_GS_006,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,A believer who struggles with assurance asks how complementarian and egalitarian views on gender roles relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_AR_CVE_006,pastoral_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the unity of essence in the Trinity. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_T_UOE_011,pastoral_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on spiritual gifts don't really matter 'as long as we love each other.' How should you address this situation?,S_PG_SG_010,pastoral_v2
Primary,Bibliology,Authority,objective,Someone argues that a right understanding of the authority of Scripture is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_B_A_014,adversarial_precision_v2
Tertiary,Eschatology,Signs of the End Times,objective,What are the most important scriptural passages supporting the signs of the end times? How should this doctrine shape the everyday life of a believer?,T_E_SOT_001,objective_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,A believer who struggles with assurance asks how church discipline and the unity of the church relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_E_DU_005,pastoral_v2
Tertiary,Covenantology,Old vs. New Covenant,objective,"How should a clear understanding of the relationship between the old and new covenants inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_C_OVN_001,objective_v2
Secondary,Eucharist,Frequency & Practice,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the frequency and practice of the Lord's Supper. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_E_FP_009,pastoral_v2
Primary,Theology Proper,Existence of God,objective,Describe the historic confessional understanding of the existence of God as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_TP_EOG_001,objective_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,An atheist podcaster you are dialoguing with claims that the distinction of persons in the Trinity is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_T_DOP_013,pastoral_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about spiritual warfare in light of their pain. How do you respond?",T_A_SW_007,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,objective,In what ways can a misunderstanding of complementarian and egalitarian views on gender roles lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_AR_CVE_001,objective_v2
Tertiary,Providence,Human Responsibility,pastoral,"In what ways does human responsibility connect to the life, death, and resurrection of Jesus Christ?",T_P_HR_009,coherence_application_v2
Primary,Prolegomena,Nature of Theology,objective,Someone argues that a right understanding of the nature of theology is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_P_NOT_015,adversarial_precision_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,Describe the historic confessional understanding of the effects and guilt of sin as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_H_EGO_006,objective_v2
Secondary,Baptism,Meaning & Significance,objective,"How should a clear understanding of the meaning and significance of baptism inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_B_MS_004,objective_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,A believer who struggles with assurance asks how general and special revelation relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_P_RGS_014,pastoral_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,"How does the nature and marks of the true church fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_E_NMO_002,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,Two mature Christians in your church hold different but orthodox views on spiritual gifts. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_PG_SG_014,adversarial_precision_v2
Tertiary,Eschatology,Millennium Views,pastoral,"A Christian is using their strong view on millennial views (pre-, post-, and a-millennialism) to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?",T_E_MV_009,adversarial_precision_v2
Secondary,Anthropology (roles),Image of God,pastoral,Two mature Christians in your church hold different but orthodox views on the image of God in humanity. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_AR_IOG_012,adversarial_precision_v2
Primary,Theology Proper,Decrees of God,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the decrees of God. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_TP_DOG_013,pastoral_v2
Primary,Hamartiology,Origin of Sin,pastoral,A small group is studying the origin of sin. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_H_OOS_016,coherence_application_v2
Tertiary,Eschatology,Signs of the End Times,objective,"How does the signs of the end times fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_E_SOT_002,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about regeneration and union with Christ in light of their pain. How do you respond?",P_S_RUW_009,pastoral_v2
