Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Ethics,Cultural Engagement,objective,In what ways can a misunderstanding of Christian cultural engagement lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_E_CE_002,objective
Secondary,Baptism,Mode of Baptism,pastoral,A small group is studying the proper mode of baptism. One member says it is too abstract to matter for daily discipleship. How should the group respond?,S_B_MOB_013,coherence_application
Primary,Theology Proper,Existence of God,objective,"How should a clear understanding of the existence of God inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_TP_EOG_003,objective
Primary,Trinitarianism,Distinction of Persons,objective,"Explain the doctrine of eternal relations of origin (paternity, filiation, spiration) without falling into subordinationism or modalism. Why does this matter?",P_T_DOP_005,hand_curated_precision
Primary,Hamartiology,Origin of Sin,objective,In what ways can a misunderstanding of the origin of sin lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_H_OOS_001,objective
Tertiary,Ethics,Sanctification in Daily Life,pastoral,A Christian is using their strong view on sanctification in everyday Christian life to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_SID_009,adversarial_precision
Secondary,Baptism,Subjects of Baptism,pastoral,Two mature Christians in your church hold different but orthodox views on the proper subjects (recipients) of baptism. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_B_SOB_011,adversarial_precision
Primary,Trinitarianism,Eternal Relations,pastoral,A new Christian has been reading popular books that treat the eternal relations within the Trinity as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_T_ER_008,pastoral
Secondary,Baptism,Subjects of Baptism,objective,Why is the proper subjects (recipients) of baptism considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,S_B_SOB_004,objective
Primary,Trinitarianism,Unity of Essence,objective,Explain the primary biblical basis for the unity of essence in the Trinity and its key implications for Christian belief and practice.,P_T_UOE_007,objective
