Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Angelology,Spiritual Warfare,objective,"How should a clear understanding of spiritual warfare inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_A_SW_002,objective_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,A believer who struggles with assurance asks how general and special revelation relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_P_RGS_014,pastoral_v2
Primary,Soteriology,Atonement,pastoral,A parent in your congregation wants help explaining the atonement to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,P_S_A_010,pastoral_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on baptism and filling with the Holy Spirit don't really matter 'as long as we love each other.' How should you address this situation?,S_PG_BFO_007,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,objective,"How should a clear understanding of the problem of evil, theodicy, and suffering inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_P_TS_002,objective_v2
Tertiary,Eschatology,Signs of the End Times,objective,What are the most important scriptural passages supporting the signs of the end times? How should this doctrine shape the everyday life of a believer?,T_E_SOT_001,objective_v2
Primary,Prolegomena,Revelation (General & Special),objective,Why is general and special revelation considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_P_RGS_003,objective_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,A believer who struggles with assurance asks how church government and polity relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_E_CGP_006,pastoral_v2
Primary,Christology,Hypostatic Union,adversarial,An online teacher claims that Jesus 'gave up his divinity' during the incarnation or on the cross. A young believer is troubled by this. How do you evaluate and correct this teaching?,P_C_HU_HC07,hand_curated_precision_v2
Secondary,Anthropology (roles),Gender & Sexuality,objective,"How does gender and human sexuality fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_AR_GS_001,objective_v2
Secondary,Eucharist,Presence of Christ,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the presence of Christ in the Lord's Supper differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_E_POC_006,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,objective,"How should a clear understanding of church government and polity inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_E_CGP_004,objective_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the distinction of persons in the Trinity differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_T_DOP_012,pastoral_v2
Tertiary,Ethics,Moral Law Application,pastoral,An atheist podcaster you are dialoguing with claims that the application of the moral law today is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,T_E_MLA_007,pastoral_v2
Primary,Bibliology,Authority,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the authority of Scripture in light of their pain. How do you respond?",P_B_A_010,pastoral_v2
Primary,Bibliology,Authority,objective,Explain the primary biblical basis for the authority of Scripture and its key implications for Christian belief and practice.,P_B_A_006,objective_v2
Primary,Bibliology,Authority,objective,Someone argues that a right understanding of the authority of Scripture is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_B_A_014,adversarial_precision_v2
Secondary,Baptism,Meaning & Significance,objective,"How should a clear understanding of the meaning and significance of baptism inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_B_MS_004,objective_v2
Primary,Trinitarianism,Eternal Relations,pastoral,"In a Bible study, someone asks how the eternal relations within the Trinity should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_T_ER_009,pastoral_v2
Secondary,Baptism,Mode of Baptism,objective,What are the most important scriptural passages supporting the proper mode of baptism? How should this doctrine shape the everyday life of a believer?,S_B_MOB_003,objective_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,A small group is studying spiritual warfare. One member says it is too abstract to matter for daily discipleship. How should the group respond?,T_A_SW_009,coherence_application_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,How would a misunderstanding of the nature of the Lord's Supper affect a believer's assurance or approach to suffering?,S_E_NOT_013,coherence_application_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain spiritual gifts in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",S_PG_SG_012,pastoral_v2
Primary,Bibliology,Authority,objective,Describe the historic confessional understanding of the authority of Scripture as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_B_A_001,objective_v2
Primary,Bibliology,Inspiration,pastoral,A believer who struggles with assurance asks how the inspiration of Scripture relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_B_I_011,pastoral_v2
Primary,Christology,Hypostatic Union,objective,"In a discussion, a participant says that historic formulations of the hypostatic union of Christ are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_C_HU_015,adversarial_precision_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,What is the core teaching of historic Christianity regarding the inerrancy and sufficiency of Scripture? Provide examples from Scripture and major confessional documents.,P_B_IS_004,objective_v2
Secondary,Anthropology (roles),Image of God,objective,What is the core teaching of historic Christianity regarding the image of God in humanity? Provide examples from Scripture and major confessional documents.,S_AR_IOG_002,objective_v2
Secondary,Baptism,Meaning & Significance,pastoral,A longtime church member tells you privately that they are having serious doubts about the meaning and significance of baptism. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_B_MS_009,pastoral_v2
Tertiary,Ethics,Sanctification in Daily Life,objective,Describe the historic confessional understanding of sanctification in everyday Christian life as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_E_SID_001,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,Explain the primary biblical basis for the nature and marks of the true church and its key implications for Christian belief and practice.,S_E_NMO_003,objective_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,What are the central distinctions or nuances that must be maintained when teaching the effects and guilt of sin in order to remain faithful to historic orthodoxy?,P_H_EGO_005,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,A parent in your congregation wants help explaining spiritual gifts to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,S_PG_SG_008,pastoral_v2
Tertiary,Angelology,Nature & Hierarchy of Angels,pastoral,A new Christian has been reading popular books that treat the nature and hierarchy of angels as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_A_NHO_006,pastoral_v2
Primary,Soteriology,Justification by Faith,objective,Explain the difference between the Roman Catholic view of justification as 'infused righteousness' and the historic Protestant view of 'imputed righteousness.' Why does this distinction matter for the gospel?,P_S_JBF_004,hand_curated_precision_v2
Secondary,Eucharist,Frequency & Practice,pastoral,Two mature Christians in your church hold different but orthodox views on the frequency and practice of the Lord's Supper. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_FP_014,adversarial_precision_v2
Tertiary,Angelology,Demonic Activity,pastoral,A believer who struggles with assurance asks how demonic activity and the powers of darkness relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_A_DA_005,pastoral_v2
Tertiary,Creation,Days of Creation,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the days of creation (length and nature). Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_C_DOC_006,pastoral_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,Why is regeneration and union with Christ considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_S_RUW_005,objective_v2
Primary,Prolegomena,Nature of Theology,pastoral,"In a Bible study, someone asks how the nature of theology should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_P_NOT_013,pastoral_v2
Primary,Theology Proper,Existence of God,objective,What are the central distinctions or nuances that must be maintained when teaching the existence of God in order to remain faithful to historic orthodoxy?,P_TP_EOG_006,objective_v2
Secondary,Eucharist,Presence of Christ,objective,What are the most important scriptural passages supporting the presence of Christ in the Lord's Supper? How should this doctrine shape the everyday life of a believer?,S_E_POC_002,objective_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why creation ex nihilo matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_C_ENC_004,pastoral_v2
Primary,Trinitarianism,Unity of Essence,objective,"How should a clear understanding of the unity of essence in the Trinity inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_T_UOE_002,objective_v2
Secondary,Baptism,Meaning & Significance,objective,"How does the meaning and significance of baptism fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_B_MS_001,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,"How does the nature and marks of the true church fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_E_NMO_002,objective_v2
Primary,Christology,Deity of Christ,objective,"How does the deity of Christ fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_C_DOC_008,objective_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of complementarian and egalitarian views on gender roles. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_AR_CVE_005,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,objective,Explain the primary biblical basis for gender and human sexuality and its key implications for Christian belief and practice.,S_AR_GS_003,objective_v2
Secondary,Eucharist,Frequency & Practice,pastoral,A believer who struggles with assurance asks how the frequency and practice of the Lord's Supper relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_E_FP_006,pastoral_v2
Primary,Hamartiology,Origin of Sin,objective,"How does the origin of sin fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_H_OOS_002,objective_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on church government and polity don't really matter 'as long as we love each other.' How should you address this situation?,S_E_CGP_010,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices church government and polity differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_E_CGP_009,pastoral_v2
Primary,Christology,Humanity of Christ,pastoral,"In a Bible study, someone asks how the humanity of Christ should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_C_HOC_008,pastoral_v2
Primary,Christology,Hypostatic Union,pastoral,"In what ways does the hypostatic union of Christ connect to the life, death, and resurrection of Jesus Christ?",P_C_HU_016,coherence_application_v2
Primary,Hamartiology,Origin of Sin,pastoral,"In what ways does the origin of sin connect to the life, death, and resurrection of Jesus Christ?",P_H_OOS_015,coherence_application_v2
Primary,Hamartiology,Nature of Sin,objective,Describe the historic confessional understanding of the nature of sin as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_H_NOS_007,objective_v2
Primary,Theology Proper,Attributes of God,pastoral,A longtime church member tells you privately that they are having serious doubts about the attributes of God. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_TP_AOG_010,pastoral_v2
Primary,Trinitarianism,Unity of Essence,objective,"How does the unity of essence in the Trinity fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_T_UOE_003,objective_v2
Tertiary,Creation,Ex Nihilo Creation,objective,Explain the primary biblical basis for creation ex nihilo and its key implications for Christian belief and practice.,T_C_ENC_001,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,objective,What is the core teaching of historic Christianity regarding spiritual gifts? Provide examples from Scripture and major confessional documents.,S_PG_SG_003,objective_v2
Tertiary,Eschatology,Timing of Christ's Return,objective,Describe the historic confessional understanding of the timing of Christ's return as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_E_TOC_003,objective_v2
